MP name,Nature of membership,Start of term,End of term,State,Constituency,Political party,Alliance,Gender,Educational qualifications,Educational qualifications - details,Age,Debates,Private Member Bills,Questions,Attendance,Notes,National Debates average,National Private Member Bills average,National Questions average,National Attendance average,State's Debates average,State's Private Member Bills  average,State's Questions average,State's Attendance average,Education Coefficient,MP Rating
Sambasiva Rayapati Rao,Elected,18-May-09,In office,Andhra Pradesh,Guntur,Indian National Congress,UPA,Male,Graduate,"B.Sc.; Educated at New Science College, Hyderabad, Andhra Pradesh",69,13,0,610,0.67," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,77%,15.2,0.4,257,70%,60,2.48
Sameer Magan Bhujbal,Elected,18-May-09,In office,Maharashtra,Nashik,Nationalist Congress Party,UPA,Male,Under Graduate,Educated at St. Mary`s Convent High School,38,11,0,227,0.68," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,77%,21,1.2,354,74%,20,1.85
Sandeep Dikshit,Elected,18-May-09,In office,Delhi,East Delhi,Indian National Congress,UPA,Male,Post Graduate,"M.A., P.G. Diploma in Rural Development; Educated at St. Stephans College, University of Delhi and Institute of Rural Management, Anand, Gujarat",48,15,0,2,0.93," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,77%,27.5,4.3,226,96%,75,2.2
Sanjay Bhoi,Elected,18-May-09,In office,Orissa,Bargarh,Indian National Congress,UPA,Male,Graduate,"B.A., GNIIT & Microsoft Certified Product Specialist; Educated at Delhi University",38,4,0,298,0.87," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,77%,27.4,0.6,279,76%,60,2.6
Sanjay Dina Patil,Elected,18-May-09,In office,Maharashtra,Mumbai-North-East,Nationalist Congress Party,UPA,Male,Graduate,B.Com.; Educated at Mumbai University,43,6,0,340,0.85," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,77%,21,1.2,354,74%,60,2.35
Sanjay Jaiswal,Elected,18-May-09,In office,Bihar,Paschim Champaran,Bharatiya Janata Party,NDA,Male,Post Graduate,"M.B.B.S., M.D. (General Medicine); Educated at Patna Medical College and Darbhanga Medical College",46,26,0,175,0.85," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,77%,34.8,0.5,235,87%,75,2.9
Sanjay Nirupam,Elected,18-May-09,In office,Maharashtra,Mumbai-North,Indian National Congress,UPA,Male,Graduate,"B.A. (Hons.) Political Science; Educated at A.N. College, Patna",47,44,0,231,0.93," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,77%,21,1.2,354,74%,60,3.22
Sanjay Shamrao Dhotre,Elected,18-May-09,In office,Maharashtra,Akola,Bharatiya Janata Party,NDA,Male,Graduate,"B.E. (Mech.); Educated at Government College of Engineering, Amravati, Maharashtra",53,12,0,254,0.75," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,77%,21,1.2,354,74%,60,2.3
Sanjay Singh Chauhan,Elected,18-May-09,In office,Uttar Pradesh,Bijnor,Rashtriya Lok Dal,UPA,Male,Graduate,"B.A., LL.B.; Educated at S.D. Degree College, Muzaffar Nagar and D.A.V. Degree College, Muzaffar Nagar, Ch. Charan Singh University, Meerut",50,24,0,245,0.88," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,77%,33.3,0.4,178,80%,60,2.82
Sanjay Sinh,Elected,18-May-09,In office,Uttar Pradesh,Sultanpur,Indian National Congress,UPA,Male,Doctorate,"M.A. (Hindi), Ph.D.; Educated at R.R.P.G. College, Amethi District,; Sultanpur, Uttar Pradesh",60,20,0,465,0.77," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,77%,33.3,0.4,178,80%,90,3.2
Sanjeev Ganesh Naik,Elected,18-May-09,In office,Maharashtra,Thane,Nationalist Congress Party,UPA,Male,Under Graduate,"Educated at Mumbai University, Maharashtra",40,55,2,561,0.94," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,77%,21,1.2,354,74%,20,3.75
Sansuma Khunggur Bwiswmuthiary,Elected,18-May-09,In office,Assam,Kokrajhar,Bodoland Peoples Front,UPA,Male,Graduate,"B.A. (Hons. in Political Science), Prabin (Hindi); Educated at Ouabari Lower Primary School, Hashraobari, Borobazar High School, Bijni, Kokrajhar College, under Guwahati University and the Asom Rashtra Bhasha Prachar Samiti, Guwahati, Assam",52,35,0,69,0.6," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,77%,16.2,0.5,59,81%,60,2.1
Santosh Chowdhary,Elected,18-May-09,In office,Punjab,Hoshiarpur,Indian National Congress,UPA,Female,Post Graduate,"M.A., B.Ed., Certificates in Home Science, Poultry and Animal Husbandry; Educated at Govt. College for Girls, Chandigarh, Govt. College of Education, Chandigarh, Punjab University and Himachal Pradesh University",67,34,0,0,0.85," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,77%,19,0.6,127,78%,75,2.55
Sarika Singh Baghel,Elected,18-May-09,In office,Uttar Pradesh,Hathras,Rashtriya Lok Dal,UPA,Female,Post Graduate,"M.A. (English); Educated at P. C. Bagla College, Hathras",32,0,0,0,0.94," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,77%,33.3,0.4,178,80%,75,2
Saroj Pandey,Elected,18-May-09,In office,Chhattisgarh,Durg,Bharatiya Janata Party,NDA,Female,Post Graduate,"M.Sc. (Child Development); Educated at Bhilai Mahila College (Pt. Ravishankar University, Raipur) ",44,25,3,306,0.73," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,77%,9.6,0.3,120,64%,75,3.07
Satabdi Roy,Elected,18-May-09,In office,West Bengal,Birbhum,All India Trinamool Congress,UPA,Female,Graduate,B.A.,42,2,0,0,0.72," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,77%,34.8,0.8,135,72%,60,1.37
Sathyanarayana Sarvey,Elected,18-May-09,In office,Andhra Pradesh,Malkajgiri,Indian National Congress,UPA,Male,Post Graduate,"B.A, LL.B, LL.M.; Educated at Osmania University, Hyderabad and; Evening College of Law, Thilak Road, Abids, Hyderabad; Andhra Pradesh",58,4,0,264,0.71," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,77%,15.2,0.4,257,70%,75,2.23
Satpal Maharaj,Elected,18-May-09,In office,Uttarakhand,Garhwal,Indian National Congress,UPA,Male,Under Graduate,"Senior Cambridge; Educated at St. George`s College, Mussoorie (Uttarakhand) ",60,113,9,80,0.86," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,77%,38.5,4.6,78,82%,20,3.42
